1,location,Clean
2,location,Great
3,Bed,a bit small
4,touches,great
5,location,modern
6,staff,Very friendly
7,cleaning staff,also very good
8,My room,always tidied
9,weights,free
10,guests,have t
11,staff,helpful
12,sauna,infrared
13,building,not completely soundproof between the rooms
14,dining area,outsourced
15,building,small
16,My room,spotless during my 1 week stay
17,design,very clever
18,cafe owners,weren't fully in-sync with the hotel team
19,design,with lots of storage spaces under the bed
20,tv signal in lower ground floor,No
21,tv signal in lower ground floor,Only had 2 channels
22,location,amazing Great
23,Staff,very helpful
24,room,generally nice
25,clothing cleaning facilities,no
26,location,Great
27,room,Neat
28,check in process.,Quick
29,Tea / coffee facilities,available through the day and water coolers.
30,location,quiet
31,staff,very attentive
32,bed,clever
33,corridors,many
34,shower,very good
35,bed,very very comfortable
36,location,amazing
37,we,detailed
38,furnishings,nice
39,room,quite small
40,Fitness Centre,Nice
41,Fitness Centre,no treadmills
42,Fitness Centre,not really what i would class as a fitness centre
43,light,Very modern
44,light,clean
45,light,stylish
46,shower room,tiny
47,hot drinks,always available
48,meditation headphones in the meditation pod,didn't work
49,room,fine
50,Towels,fluffy
51,location,great
52,lounge area,lovely
53,bed,really comfortable
54,room,small
55,Towels,soft
56,wallpaper,starting to lift off the wall in a couple of places
57,room,very comfortable
58,staff,welcoming
59,Towels,with some discolouration in parts
60,hotel,Great
61,hotel,Beautiful
62,gym,a waste of space
63,coffee,free-flowing
64,hotel,just a stone’s throw from Paddington stn and Hyde park
65,hotel,very disappointing
66,sink in the bathroom,narrow
67,Staff,spacious
68,Staff,very clean
69,hotel,very eco friendly
70,Staff,very friendly
71,my room,very small for the price
72,drinking water,Free
73,Rooms,Well located
74,Rooms,"close to train, tube and bus."
75,Staff,effective
76,AC directly over the bed,made it a bit uncomfortable
77,Rooms,very small
78,location,5 min from Paddington
79,location,Excellent
80,house,beautiful
81,atmosphere,great
82,amenities,nice
83,My room and bathroom,really small
84,rooms,super clean
85,rooms,unique
86,Hotel,chic
87,gym,didn't have a treadmill
88,decor,minimalist
89,Hotel,very clean
90,location,perfect.
91,location,too small
92,bathroom,However large
93,Room size,a bit limited compared to bathroom
94,bed,supercomfortable
95,Staff,superhelfpful when we needed it
96,Everything,superhelfpful when we needed it.
97,Everything,went well during our stay
98,It,also looked stylish
99,their,commitment to sustainability
100,rooms,have limited space
101,rooms,made me appreciate the place more
102,water fountain in the hallway,refillable
103,It,with smart space saving initiatives
104,location,Great
105,common room,great
106,they,moved us to a room in the second floor for the second night
107,room,super
108,location,walk from the hotel to Paddington station
109,Shower temp,all over the place
110,location,great
111,room,nice big
112,room,very clean
113,bathroom,clean
114,we,packed and went downstairs with our bags just to be told that we could in fact stay in our room
115,bathroom,quite small
116,location,really nice and easy to reach
117,hotel,super cute
118,staff,told us we had to move
119,my room,in the basement
120,I,had a very relaxing stay
121,complementary coffee and tea,helped
122,common areas,pleasant to be in
123,I,quite comfortable and quiet
124,common areas,really cozy
125,I,really enjoyed the sauna
126,I,smaller than I had expected
127,staff,very kind
128,Location,amazing
129,room service,no
130,food in the breakfast restaurant,very delicious
131,location,Good
132,I,friendly
133,I,helpful
134,Room,in the basement
135,I,request a bigger room on a higher floor
136,hotel,super-clean
137,Room,very small
138,I,would like to stay again
139,everything,comfortable
140,price,great
141,price,very high
142,I,comfortable
143,hotel,great
144,I,have a hard time sleeping when I’m too hot
145,we,have easy access to tons of tube lines as well as the Heathrow express to the airport for an early morning flight
146,we,just happened to be staying during a week when it was warm
147,I,neat
148,I,perfect for us
149,staff,very nice
150,we,wanted to stay near Paddington
