score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
10,Great value for money - close to Paddington Station,Great location. Clean and modern with great touches such as underfloor heating.,Bed was a bit small.,Australia,Deluxe Double Room,2 nights ·,Couple,July 2022,19 August 2022,,
8.0,Weighing up the positives and negatives this is a charming boutique hotel. I would stay here again.,Very friendly and helpful staff. The cleaning staff were also very good. My room was always tidied and spotless during my 1 week stay. The rooms look small but the design is very clever with lots of storage spaces under the bed. I liked the wellness theme of the hotel. It feels like a calm and serene place to be.,The building is small and not completely soundproof between the rooms. The gym is a Peloton bike and a small selection of free weights. Due to the size of the space guests have to book a spot to use the gym or infrared sauna and I had to get someone at Reception to let me into the gym room. I ended up paying to use a more equipped gym outside the hotel. The dining area is outsourced and it felt at times that the cafe owners weren't fully in-sync with the hotel team. The level of service isn't as high as the hotel's.,Australia,Deluxe Double Room,7 nights ·,Group,October 2022,26 October 2022,,
9.0,Superb,Staff very helpfulShower amazing Great location,No tv signal in lower ground floor Only had 2 channels,United Kingdom,Deluxe Twin Room,1 night ·,Group,October 2022,23 October 2022,,
7.0,I slept in a hotel bed,the room was generally nice,"Hardly any of the facilities mentioned, particularly no clothing cleaning facilities at all which was the reason I stayed there over other places.",United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,October 2022,18 October 2022,,
8.0,great location and quiet,Great location with very attentive staff. Quick check in process. Tea / coffee facilities available through the day and water coolers. Neat room and quiet.,,United Kingdom,Deluxe Twin Room,1 night ·,Family,October 2022,18 October 2022,1,
8.0,fantastic value for money! well designed hotel and very comfortable,the clever way the room was designed and the focus on very very comfortable bed and very good shower,the many corridors,United Kingdom,Deluxe Double Room,8 nights ·,Solo traveller,October 2022,16 October 2022,,
7.0,Good,"amazing location and the hotel had a lovely ethos, really enjoyed the attention to detail - nice furnishings and detailed booklet outlining facilities",room was quite small - was okay for us as we just had weekend bags but if we had suitcases it would have been very cramped so something to be mindful of.,New Zealand,Deluxe Double Room,3 nights ·,Couple,October 2022,15 October 2022,1,
8.0,Very good,Nice clean rooms,"Fitness Centre is not really what i would class as a fitness centre, no treadmills.",United Kingdom,Deluxe Single Room,1 night ·,Solo traveller,September 2022,15 October 2022,,
8.0,Really enjoyed it - great central location,Very modern light stylish and clean,My shower room was tiny,United Kingdom,Deluxe Twin Room,3 nights ·,Group,October 2022,14 October 2022,,
8.0,A warm welcome and a relaxing space,"The location was great, lovely lounge area, hot drinks always available. The room was small, but very comfortable, we liked the use of essential oils to fragrance the room. Towels were soft and fluffy, the bed really comfortable.The staff were great, welcoming, friendly and helpful","Unfortunately the meditation headphones in the meditation pod didn't work. We had hoped to enjoy cocktails and snacks in the library, as suggested was available online,  but this wasn't available during the evening.Our room was fine, but perhaps a little shabby - wallpaper starting to lift off the wall in a couple of places, with some discolouration in parts.",United Kingdom,Deluxe Double Room,2 nights ·,Couple,October 2022,13 October 2022,,
8.0,good,location,there were small flies in my room,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,October 2022,12 October 2022,,
9.0,Superb,Great hotel for a short stay family of three,А bit noisy. А little,Ukraine,Triple Room,2 nights ·,Family,October 2022,11 October 2022,,
7.0,Good,Beautiful hotel just a stone’s throw from Paddington stn and Hyde park. Quiet and comfortable. Loved the free-flowing coffee every morning!,The gym was a waste of space - one machine and a few weights. For a well-being hotel this was very disappointing.,Australia,Deluxe Double Room,2 nights ·,Couple,September 2022,7 October 2022,,
9.0,A very pleasant stay,Love the Nordic feel of the design and hotel is very eco friendly.Staff very friendlyRoom spacious and very clean,The sink in the bathroom is slightly small and narrow.Would be better if there are some shelving in the bathroom.,Hong Kong (China),Deluxe Twin Room,4 nights ·,Family,September 2022,5 October 2022,,
8.0,lovely vibe and very tastefully decorated but not sure I could justify the spend again on such a small room. only really,"modern, clean, well located with lovely relaxing feel",my room was very small for the price,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,October 2022,4 October 2022,,
8.0,Good place to stay at Paddington,"Well located, close to train, tube and bus. Free drinking water available. Staff was effective.","Rooms are very small, AC directly over the bed made it a bit uncomfortable.",Spain,Deluxe Double Room,3 nights ·,Couple,September 2022,3 October 2022,,
9.0,would stay here again,close proximity to everything I needed.,n/a,Australia,Triple Room,1 night ·,Group,August 2022,3 October 2022,,
8.0,"Beautiful house, great atmosphere and location","Excellent location, 5 min from Paddington, in a beautiful Georgian era house, unique rooms and great atmosphere. Rooms a super clean and the amenities nice.","My room and bathroom was really small, it eas hard to open the suitcase.",Switzerland,Deluxe Single Room,2 nights ·,Solo traveller,October 2022,2 October 2022,,
9.0,Chic hotel with minimalist decor. Very clean and comfortable,Hotel is very clean and chic. i like the minimalist decor.,I was unable to use the peloton as the pedal was broken. The gym didn't have a treadmill.,United States,Triple Room,4 nights ·,Group,September 2022,29 September 2022,,
7.0,comfortable,location is perfect,room too small,United Arab Emirates,Deluxe Double Room,3 nights ·,Group,September 2022,26 September 2022,,
8.0,relaxing stay in London,Everything went well during our stay. Staff superhelfpful when we needed it. supercomfortable bed,Room size was a bit limited compared to bathroom. However large bathroom is also appreciated,Belgium,Deluxe Double Room,2 nights ·,Couple,September 2022,26 September 2022,,
9.2,Stylish and sustainable,"The key things that struck me about this property was their commitment to sustainability and the attention to design.There are a number of initiatives around the hotel to help minimise wasteful use of plastic and introduce sustainable habits. These include things like refillable water fountain in the hallway, dispensers in bathroom. Clever and forward thinking and made me appreciate the place more.By the nature of the building, some rooms have limited space. That was the case for my room, but it was designed in a way to make the most of the space available, with smart space saving initiatives, that also looked stylish. It felt newly fitted and modern.","Whilst accepting the shape of the building means some rooms will be small, I did find myself banging my knees and elbows navigating about the room and bathroom. Fortunately I was travelling alone. Two people in there, despite it being a double room, would have been a squeeze.",United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,August 2022,25 September 2022,,
9.0,Superb,"great common room, great cafe for breakfast. Great location; you can walk from the hotel to Paddington station.","For the first night, we got a room in the basement. That was not so nice. But they moved us to a room in the second floor for the second night, and that room was super.",Austria,Deluxe Twin Room,2 nights ·,Family,September 2022,23 September 2022,,
8.0,Nice stay in London!,"Second time staying here - great location, very clean, nice big room!",Shower temp was all over the place - small adjustments meant that it went from boiling to cold and was difficult to get a happy medium. You could hear noise from upstairs.,United Kingdom,King Room,2 nights ·,Couple,September 2022,23 September 2022,,
9.0,Really nice hotel to enjoy London with your friends.,The hotel is super cute and the room is very spacious for three people. The bathroom is quite small but clean. The location is really nice and easy to reach.,"One of our friends was leaving a day early and we had asked if we could stay in the same room instead of moving but the staff told us we had to move, which was fine. On the day we packed and went downstairs with our bags just to be told that we could in fact stay in our room. It was a minor inconvenience but could have been avoided.",Germany,Triple Room,3 nights ·,Group,July 2022,23 September 2022,,
7.0,Good,location,very noisy; my room was in the basement and i could all people walking on ground floor,Poland,Deluxe Single Room,1 night ·,Solo traveller,August 2022,22 September 2022,,
