score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
10,A delightful place to stay in London,"It was a pleasant hotel in a lovely neighborhood. The staff were very helpful, and I would stay there again.",,Turkey,Superior Double Room,4 nights ·,Solo traveller,July 2022,7 August 2022,,
9.0,"Excellent stay, in an excellent location!","Superb location &amp; quiet, the staff were so friendly and the breakfast was amazing and plentiful.","Furniture slightly worn, but this did not impact our mini break.",United Kingdom,Deluxe Double Room,4 nights ·,Couple,October 2022,26 October 2022,,
8.0,would return,the location and the staff were really helpful . the first room was not suitable for personal reasons but they sorted it straight away,"the lights didn’t seem to work well, kept flickering. the breakfast probably was not worth the money.",United Kingdom,Deluxe Double Room,1 night ·,Family,October 2022,26 October 2022,,
8.0,Would stay again,"Welcoming, friendly, polite staff. Very clean room, easy check in and out.","The mattress is very soft, some people would love it, just not comfy for us.",United Kingdom,Deluxe Double Room,2 nights ·,Couple,October 2022,25 October 2022,,
9.0,Superb,Nice shower and great Breakfast,Nothing,Denmark,Deluxe Double Room,3 nights ·,Solo traveller,October 2022,25 October 2022,,
7.0,Good,Location was great. Staff were friendly,Room was way overpriced for what it was. Lights weren't working properly in the room. Door on the shower didn't stop water flowing out,Ireland,Superior Double Room,2 nights ·,Solo traveller,October 2022,23 October 2022,1,
7.0,Hotel needs some work. Staff was great and very accommodating .,"The property is very well located . It was at a walking distance from the subway, restaurants, shopping stores , pharmacies and even touristic places !","Cleaning-less. The carpets in the hotel and specially in my room are screaming they need some washing. The shower in my room had MOLD in it , the panel for do not disturb and others wasn’t working, and TVs arepretty outdated . (you can’t even connect to Netflix or connect your phone)",United States,Deluxe Double Room,3 nights ·,Solo traveller,October 2022,23 October 2022,1,
8.0,"great hotel, great location!",perfect location close to Earls Court train station and lots of restaurants. the room was small but very comfortable and clean.,walls are thin! so you hear people talking and walking around.,Trinidad and Tobago,Deluxe Double Room,3 nights ·,Solo traveller,October 2022,22 October 2022,,
9.0,Superb,"Proximity to places of interest, restaurants and comfortable room even though it was small. I love the fact that the room had tea/coffee facilties, hair dryer, mini fridge, iron and best of all a microwave. I had everything I needed!",Room smaller than expected but it was still great!,Nigeria,Superior Double Room,2 nights ·,Solo traveller,October 2022,21 October 2022,,
7.0,"Great staff, great breakfast, great location!","Our second stay at the Park Grand. Staff as before were superb, professionaland friendly.The breakfast selection is also very goodLocation ideally for Earls Court Tube","Our room was located below ground floorThis floor as a whole was very tired, as was the roomThe room next door also was a loud guest withloud music ! The staff dealt with this swiftly.The room was only average on this stay however,still good value for money so it wouldn’t put me off going again…I’d just request a higher floor!",United Kingdom,Superior Double Room,2 nights ·,Couple,October 2022,20 October 2022,,
9.0,We very much enjoyed it.,The location was wonderful!  It was only minutes to the tube station.  London's transportation system is wonderful.,The room was very small.  There was only a foot on each side of the bed and wall.,United States,Superior Double Room,5 nights ·,Couple,September 2022,19 October 2022,,
8.0,"Friendly, welcoming, comfortable and an excellent location for connections.",One of the friendliest hotels I have stayed in London.  The team really were happy to help.,Our room was on the small side but we were offered a much larger room by the incredibly friendly check in staff.,United Kingdom,Superior Double Room,2 nights ·,Couple,October 2022,19 October 2022,,
8.0,the room is quiet and well equipped.,close to the tube and quiet,pricy,United States,Club Double Room,3 nights ·,Couple,September 2022,18 October 2022,,
8.0,Very good,"A comfortable stay. The room had all key amenities, it was nice and quiet, and the bed was comfy. The breakfast buffet was good and staff very attentive.",Spots in the room could have been more thoroughly cleaned (nooks and crannies collecting dust that maybe only an allergic person would notice).,United Kingdom,Deluxe Double Room,1 night ·,Couple,October 2022,18 October 2022,,
8.0,very comfortable,being upgraded;,too expensive; understaffed in restaurant at breakfast,Australia,Superior Double Room,2 nights ·,Couple,October 2022,17 October 2022,,
8.0,Very good,The location  was excellent  and the staff couldn't have been pleasant  and eager to please.,"No bar area to speak of, bar is  in the restaurant  so not ideal for relaxing.",United Kingdom,Club Double Room,3 nights ·,Family,October 2022,17 October 2022,,
9.0,Superb,"Everything went well, as expected.",,United Kingdom,Deluxe Double Room,1 night ·,Couple,October 2022,16 October 2022,,
9.0,"Hidden gem with a great restaurant, very reasonably priced.","The room was a good size for the location, well equipped.",Nothing,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2022,16 October 2022,,
9.0,"Very comfortable hotel with very helpful staff, convenient location.","Very comfortable room, comfortable bed and very friendly staff.",,United Kingdom,Club Double Room,2 nights ·,Couple,October 2022,16 October 2022,,
8.0,Very good,"Location is good. Staff is friendly, responsive and helpful. 5/5 star to the staff. Over all it's a great stay. Restaurant in the hotel is also very good.","Hotel needs a renovation. Furniture is old, Bathroom fittings are rusty. Breakfast is repetitive, specially if you are staying for many days.",India,Deluxe Double Room,5 nights ·,Solo traveller,October 2022,16 October 2022,,
8.0,Very good,Location Cleanliness Helpful staff,Maybe they need to update the safe boxes in the rooms..the are old,Egypt,Club Double Room,7 nights ·,Family,October 2022,14 October 2022,,
8.0,Comfortable and great location for our needs,Great choice of food,,United Kingdom,Deluxe Twin Room,2 nights ·,Group,October 2022,13 October 2022,,
8.0,Good value place to stay,"The staff. All very polite, friendly and helpful. Good location in quiet road but just 2 minutes from the tube.","If I wanted to be picky, I could say it needed a revamp in places such as replacing the shower but it isn’t fair to complain too much as I wasn’t paying £1000 a night.",United Kingdom,Deluxe Double Room,2 nights ·,Couple,October 2022,13 October 2022,,
8.0,Great location,"Location is perfect, easy access to the tube",,United Kingdom,Deluxe Double Room,2 nights ·,Couple,October 2022,13 October 2022,,
8.0,"very good would use again,","The breakfast was good and you had a choice between  English or Continental, staff were very helpful and friendly  and the location was just right for what i needed, earls court, tube station Piccadilly line, to airport Heathrow.","room was large and had all you would expect, but the sofa needs recovering or replacing apart from that all else was okay, the room was clean and to a high standard and serviced everyday, just the ware and tare on the sofa.",United Kingdom,Deluxe Double Room,4 nights ·,Solo traveller,October 2022,12 October 2022,,
7.0,Satisfactory,Location,2 teabags in our room  :(,New Zealand,Superior Double Room,1 night ·,Couple,October 2022,11 October 2022,1,
9.0,Excellent value in central London.,"This was our second time staying at the Park Grand and we liked it as much the second time. The location is excellent - 1 block to Earl’s Court Underground Station and within walking distance of the Natural History and V&amp;A Museums. The rooms are a decent size, everything in the bathroom works and the bed was very comfortable. The hotel is excellent value.",The wifi could be a bit better- but that is a minor quibble.,Canada,Deluxe Double Room,5 nights ·,Couple,October 2022,10 October 2022,1,
8.0,worth the stay. great breakfast. the staff are extremely friendly and helpful,location is great,nothing,United Kingdom,Superior Double Room,1 night ·,Group,October 2022,10 October 2022,,
7.0,Location,The hotel is ideally located. Close to public transport and Kensington Gardens. Lots of stores and food options close to the hotel and a very safe and clean area of London. the amenities in the room are good.,"The hotel reception is small so if multiple people or groups are checking in, it becomes quite I comfortable and a long process to get yourself checked in. I don’t believe the cost is worth the hotel, unless location is your top decision factor.",Germany,Deluxe Double Room,1 night ·,Solo traveller,October 2022,10 October 2022,1,
8.0,good value for money.,"nice staff, clean comfortable room. As soon as we arrived the reception staff made sure we had bottles of water as it was a hot day. The staff were nice and friendly and very helpful.",it was all good.,United Kingdom,Deluxe Twin Room,1 night ·,Family,August 2022,10 October 2022,,
9.0,Superb,the location is very good and the staff was helpful,i didn't manage to connect wifithe room is small the view from the room,Israel,Superior Double Room,4 nights ·,Couple,September 2022,5 October 2022,,
8.0,pleasant,"location , staff, breakfast","little space in our room , no chair",United Arab Emirates,Superior Double Room,2 nights ·,Couple,October 2022,4 October 2022,,
8.0,would definitely stay again,staff great and helpful,breakfast not much selection and cold,Australia,Superior Double Room,4 nights ·,Couple,October 2022,3 October 2022,1,
9.0,Superb,location is great &amp; clean and comfortable,room is small,United Arab Emirates,Deluxe Twin Room,5 nights ·,Group,October 2022,1 October 2022,1,
8.0,Great location to explore London,Great location to explore London and good value considering the cost of London hotels,Nothing,Australia,Club Double Room,4 nights ·,Couple,September 2022,30 September 2022,,
9.0,"good location close to tube station, bars &amp; shops","lovely clean property, welcomed by wonderful staff at the door &amp; reception, good service &amp; breakfast",,Australia,Deluxe Double Room,3 nights ·,Couple,September 2022,28 September 2022,,
9.0,It is very good experience staying at this hotel,The location is excellent and the staff are very helpful and friendly.,"The room is on the small side, but it is understandable since it is at London.",United States,Superior Double Room,3 nights ·,Solo traveller,September 2022,27 September 2022,,
9.0,"Location to restaurants,","Great location,Friendly front of house staff and loverly rolm",Nothing,United Kingdom,Superior Double Room,1 night ·,Solo traveller,August 2022,27 September 2022,,
8.0,Very good,the staff and location were amazing.,the room was so dark because we were downstairs in room 021. we couldn’t tell when it day time and night time. besides that everything else was great.,United States,Superior Double Room,4 nights ·,Couple,September 2022,25 September 2022,,
9.0,Superb,"A convenient and central location with a nice, clean room :)",,United Kingdom,Deluxe Double Room,1 night ·,Family,September 2022,25 September 2022,,
8.0,cost/quality ratio is acceptable,location,broken coffee machine in restaurant,Ukraine,Deluxe Twin Room,9 nights ·,Group,September 2022,24 September 2022,1,
8.0,Great location. Ideal for a short stay,Easy check in with room upgrade. Room was still compact but on a high floor with a street view. Good quality bed with clean and good bathroom.,"A couple of minor moans. Air con was a bit hit &amp; miss, although not a major issue. Would have loved an additional towel in the bathroom. Nothing else put me off.",United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,September 2022,24 September 2022,,
9.0,great quiet downtown London location,very quiet and convenient to Earls Court Tube Station,small lobby area,United States,Deluxe Double Room,5 nights ·,Solo traveller,September 2022,22 September 2022,,
7.0,Good,"Location. Good breakfast, great staff and helpful. Room was well stocked.",No shelf space in bathroom. Work table in room was   small to be actually used,India,Club Double Room,2 nights ·,Family,September 2022,21 September 2022,,
9.0,Great,Location and comfort,,United States,Deluxe Double Room,5 nights ·,Solo traveller,August 2022,20 September 2022,,
8.0,nice hotel with good facilities and excellent location,location close to transport and Hyde Park,internet speed was terrible and not fixed after we complained,Australia,Deluxe Twin Room,3 nights ·,Solo traveller,September 2022,20 September 2022,,
9.0,Superb,Great location and staff,,United States,Deluxe Double Room,1 night ·,Couple,September 2022,20 September 2022,,
9.0,Perfect spot,Great location,,United Kingdom,Superior Double Room,1 night ·,Group,September 2022,19 September 2022,,
9.0,Superb,"5 gold stars to Anna at the front desk… always helpful, friendly, and professional. I had a booking.com problem and she ‘borrowed’ my phone (because I am older and technologically challenged : ) and she magically solved the problem to my immense relief.",,United States,Deluxe Twin Room,9 nights ·,Solo traveller,September 2022,19 September 2022,,
9.0,Superb,Location was great.,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,17 September 2022,,
8.0,"Great location for exploring London, comfortable rooms.","So close to Earls Court tube, peaceful location. Goid breakfast","No real bar, just a restaurant where you can get a drink that closes at 10am. Also breakfast Service a little slow. Staff were functional rather than welcoming.",United Kingdom,Deluxe Twin Room,3 nights ·,Family,September 2022,16 September 2022,,
9.0,Fab hotel in a quiet street but within easy reach of Central London,"Fantastic staff, so helpful and pleasant. Lovely gift in the room for my birthday! Good breakfast. Excellent location 5 minutes from Earls Court tube station. Windows actually open which is always a bonus, and no street noise.",,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2022,15 September 2022,,
7.0,Not enough value for the price of the room.,"Great location, nice and attentive staff and good breakfast.","The bed has to be one of the most uncomfortable ones I’ve slept in ages. A very soft and bouncy mattress with which you will wake up with neck and back pain in the morning. I found some stains in the mattress sheet the day we arrived. And in front of our room there was some soiled toilet paper on the carpet next to elevator. The bathroom is almost claustrophobic of how small it is. Nice shower but with very slippery floor. The wifi was almost non existent in the room we were in. If you need it to work, you’re in bad luck. I had to switch to international data plan on my phone almost constantly.",Spain,Deluxe Double Room,3 nights ·,Couple,September 2022,14 September 2022,,
9.0,"loved it, would definitely return","Great location, very comfortable, breakfast was great",,South Africa,Superior Double Room,1 night ·,Couple,August 2022,13 September 2022,,
8.0,A good enough hotel for a short visit.,The room had a good bed; it was on a quiet street near the Earl's Court station.  Housekeeping did a good job.,Breakfast was disappointing.  All the elements were there but the quality of ingredients and preparation were not what we were hoping for.,United States,Deluxe Double Room,2 nights ·,Couple,September 2022,12 September 2022,,
9.0,great stay ; very comfortable and convenient,good location close to underground on a quiet streetit had all required amenities,,United Kingdom,Superior Double Room,2 nights ·,Group,September 2022,12 September 2022,,
9.0,Good experience overall great value and location perfect,"The location was great,our room was good and the bed was quite comfortable, nice toiletries and soft toilet paper (not the usual cheap stuff)the room had a microwave and fridge too staff were helpful",Some of the sockets didn't work but too be fair there were a lot of sockets so not too much of a problem and the view was of a wall but on the plus side there was no road noise and being in a city that can be a problem,United Kingdom,Superior Double Room,2 nights ·,Couple,September 2022,10 September 2022,,
8.0,"Very enjoyable, good air conditioning and you can open the windows if you want to. Great staff also.","We stayed there before and our visit this time was up to our expectations. I would recommend this hotel, the Park Grand , Kensington. It is in an excellent location for a tourist or a business person.",There are at least 5 steps from the footpath to the entrance door and they does'nt seem to have a wheel-chair lift. (There is a lift inside.) The friendly staff helped me with my luggage and I have no complaints but disabled people should ask the hotel about facilities.,Ireland,Club Twin Room,5 nights ·,Couple,September 2022,9 September 2022,,
8.0,Very good,"Location great.Breakfast 10/10, nice to get hot &amp; tasty food. Breakfast staff were exceptionally friendly &amp; helpful.Hotel clean, tidy &amp; comfortable","Tea/coffee/milk not stocked up in room, had to phone for more &amp; it didn't arrive! We needed a drink before going out to the theatre. Chased it up &amp; was told NO milk??  would have been nice to have been kept updated &amp; we could have popped out for some ourselves. They finally brought some in a jug as we were leaving our room to go out! Only 1 bath towel, had to ask for another even though a double room.Coffee/water flasks in reception cold (on 2 occasions) &amp; although we nicely mentioned it to a member of staff standing next to it nothing was done, &amp; it was not replenished, but ignored!",United Kingdom,Superior Double Room,3 nights ·,Couple,September 2022,8 September 2022,,
