1,building,Beautiful
2,room,comfortable
3,room in the basement,had one tiny window
4,hotel,had only just reopened.
5,They,moved us without any difficulties
6,room in the basement,smelt damp
7,staff,friendly
8,location,perfect
9,room,so small
10,staff,welcoming
11,room,with no view
12,staff,efficient
13,staff,friendly
14,location,great
15,I,absurd to me
16,room,comfy
17,changes,easy
18,room cleaning,excessive
19,location,great
20,room,nice
21,changes,offer a better service
22,breakfast buffet,poor variety
23,changes,reduce waste
24,I,wonderful
25,I,would really love to come back in the future
26,location,Fantastic
27,staff member,friendly
28,noise from the road,loud
29,Our compact double room,uncomfortable
30,staff member,very helpful
31,room,comfortable
32,construction,didn't last too long before they called it a day
33,staff,helpful
34,Breakfast,hot
35,construction,outside our open window
36,room,small
37,staff,very polite
38,Door to fire escape,was fixed by the time we returned from our tour of London
39,Door to fire escape,wouldn't close or lock
40,Indian food,Fantastic
41,staff,Great
42,gym,No
43,Spa,need pre booking
44,you,only know once you reach there
45,staff,attentive
46,stay,excellent
47,Location,perfect
48,Rooms,a little small
49,Breakfast,good
50,Rooms,that is common in Large cities
51,staff,very accommodating
52,location,great
53,location,"very close to the park with so,e restaurants in the area"
54,room,clean
55,room,comfortable
56,Everything,satisfactory
57,facilities,very good
58,mini fridge,a great touch
59,cobblestones,a pain to manuever through
60,I,did not use the dining area
61,I,felt safe and comfortable
62,flight of stairs,inconveniently constructed directly in from of the doorway
63,I,loved being able to open the blinds and watch the street
64,dining area,quite busy
65,Shoair and Lucas,so helpful during my stay
66,rooms,"did not have Plex, Amazon TV, or Apple TV"
67,phones,old
68,phones,quite
69,ice machine,would have made my cocktails better
70,warm food,could use more salt
71,location,Great
72,rooms,clean
73,rooms,comfortable
74,Breakfast,didn't have the full range of expected options
75,rate,great
76,Breakfast,lackluster
77,location,nicely appointed
78,location,well provided for.
79,staff,Friendly
80,location,Great
81,breakfast,excellent
82,fire alarm monitor,very bright in the room
83,Location,perfect
84,other rooms,very tiny
85,Indian food,absolutely brilliant
86,room,comfy
87,room,compact
88,team,excellent at helping us out once we realised we would not fit in it
89,crew,great friendly
90,tissue box in the room,No
91,We,Very quite
92,Room,clean
93,Room,comfortable
94,We,left with less than 1/2 of a tissue roll
95,We,spacious for London
96,curtains,Extremely small
97,location,Great
98,they,comfortable
99,breakfast,delicious
100,curtains,fell off the wall
101,they,gave me an extra key card to stick in the slot to keep the power on
102,I,had to keep juggling the card in the slot to make the power come back on
103,rail,hit me in the head
104,power in the room,kept going out
105,power,kept going out.
106,curtains,not able to fix the curtains
107,they,sent 2 guys up right away
108,rail,very dark
109,curtains,very little space to maneuver around the beds
110,I,called the front desk again
111,someone,came to my room
112,breakfast,lovely
113,double room,not Deluxe.
114,Club room,overlooking an enclosed storage area
115,Club rooms,really lovely
116,Club room,very nice
117,Club rooms,was given upgrade
118,location,Great
119,breakfast,Nice
120,beds,comfy
121,rooms,great
122,staff,helpful
123,rooms,rather small in the lower price categories
124,rooms,that’s very common for London
125,location,with 2 minute walk to Paddington station
126,staff,Good
127,value,a bit expensive
128,rooms,clean
129,rooms,comfortable
130,location,great
131,rooms,very small
132,room,Spotlessly Clean
133,room,comfortable
134,price,high
135,TV reception,iffy
136,wine glasses,proper
137,Location,great
138,rooms,not a complaint
139,rooms,tiny
140,Location,outstanding
141,location,Amazing
142,breakfast,delicious
143,staff,helpful
144,breakfast,with many options
145,location,Beautiful
146,breakfast,delicious
147,staff,friendly
148,staff,helpful
149,I,great
150,Room,has been in Lower Ground
151,I,specifically asked for a different room when I booked
152,location,outstanding
153,bar/restaurant area,really cozy
154,stuff,super friendly
155,cleaners,didn’t replace the toilet roll when it was empty
156,one of the girls,didn’t speak a word to us
157,cleaners,just placed the empty toilet roll back on to the toilet roll holder
158,one of the girls,quite rude
159,service at breakfast,slightly dissatisfactory
160,staff,weren’t very attentive
161,Fresh fruit in the room,a nice touch
162,Room,also not unexpected for London
163,Room,great
164,Location,next to Paddington Station
165,Location,not ideal
166,Room,small for a double
167,ir,close to Paddington Station
168,ir,had all I needed
169,room,in the basement
170,bathroom,a good size
171,I,didn’t expect a room in the basement
172,I,great
173,location,very clean
174,We,had to move suitcases around to open the bathroom door or get down the stairs
175,staircase down into the room,made it more awkward
176,room,so small
177,beds,a bit pointless
178,twin beds,adjacent
179,I,also modern
180,I,big enough
181,I,booked this room with my mother
182,twin room,clean
183,twin room,good size
184,they,"provided little soaps, shampoos, toothbrush/paste, hairdryer, coffee and tea, kettle, microwave, TV"
185,I,went for a twin room
186,people booking twin rooms,would expect the beds to be further apar
187,I,a good size
188,It,a good value
189,staff,accommodating
190,It,close to Paddington/Heathrow Express
191,room,comfortable
192,staff,courteous
193,staff,extremely helpful
194,neighborhood,feels very safe
195,I,normally have to get up around 5:30 to catch my flight home
196,room,quiet
197,I,was able to order room service from the Indian restaurant that is part of the hotel
198,room,well appointed
199,it,hard to sleep even with my earplugs
200,people on the floor above me,stomping around until after 2 a.m.
201,ambiance,Lovely
202,they,Very courteous.
203,staff,amazing
204,they,mailed it to me.
205,location,close to Paddington station for Heathrow express
206,room,really small
207,location,steps in corridor and immediately inside room
208,I,OK
209,I,didn't have to use adapter
210,I,equipped with U.S. power outlet
211,Lcation,great
212,I,had enough with the same foods after two mornings
213,Lcation,less than 5 minutes to Paddington station
214,Carpet,looks dirty
215,toothbrush set,no
216,Tea,no flavor
217,Breakfast,no much variety
218,Tea,poorly made
219,I,very clean
220,Breakfast,with two or three tea bags
221,rooms,Classic
222,rooms,close to Paddington
223,rooms,modern
224,room,awkward with luggage
225,window,fake
226,room,in the basement
227,window,no
228,location,perfect.
229,room,round so many corners
230,location,clean
231,location,fine
232,location,good.
233,location,quiet
234,location,tidy
235,location,Very good
236,atmosphere,calm
237,room,clean
238,We,friendly
239,location,nice
240,We,very happy to choose this hotel
241,Indian restaurant,Good
242,bedrooms,Small
243,staff,Very friendly
244,bathroom,nice
245,bedrooms,without window
246,Staff,friendly
247,We,had to store our luggage in the bathroom.
248,Hyde Park,just a quick stroll.
249,location,perfect
250,everyone in that area,so friendly
251,Room,so tiny
252,Staff,very helpful
253,location,Excellent
254,place,Highly recommended
255,location,Short walk away from Little Venice
256,location,Very convenient with Heathrow Express and several London Underground lines to connect to including the new Elizabeth Line.
257,"Hyde Park, Regent’s Park and Primrose Hill",also nearby
258,elevator,nice
259,elevator,small
260,washroom,very clean
261,location,worth checking out too.
262,room,a bit small
263,staff,exceptional in all parts of the hotel
264,staff,went above and beyond
265,my room,extremely quiet
266,bathroom,new
267,my room,small
268,bed,superb
269,hotel,very conveniently situated
270,bathroom,very modern
271,breakfast,wasn't up to the standard of the rest of the hotel
272,staff,commendable
273,food,not enough
274,room,too small
275,room,Compact
276,location,Excellent
277,Restaurant hygiene,could improve by clearing and cleaning  the whole table
278,Staff,generally friendly
279,location,relatively laid back.
280,beds,comfortable
281,room,soundproof
282,Breakfast,very luxurious
283,Breakfast,very nice
284,location,great
285,location,lovely
286,room,very small
287,room,Extremely small
288,location,Great
289,Green Light on ceiling,kept the room bright all night
290,hotel,lovely
291,room,very clean.
292,staff,very friendly
293,“Compact room,10 meters x 10 meters
294,“Compact room,about the size of a small jail cell
295,location,great
296,I,needed a little more floor space to open and use my suitcase
297,location,suitable for everything except opening my case which was difficult
298,my single room,very small
299,You,can quickly get to most famous places in London in 25 minutes or less
300,You,can't beat the location for London in my opinion
