score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
10,A taste of normality,"Beautiful building, comfortable room",Originally given a room in the basement that had one tiny window and smelt damp-I suspect because the hotel had only just reopened. They moved us without any difficulties. Didn’t like having no tea or coffee making facilities . Part of the new ways of working nothing to do with the hotel,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2020,12 July 2020,,
8.0,"Acceptable, might stay there again",Its location is perfect.The staff were friendly &amp; welcoming.,The room was so small with no view.,Egypt,Compact Double Room,2 nights ·,Solo traveller,October 2022,25 October 2022,,
8.0,"very easy, comfortable and enjoyable . many thanks","great location for London sights, shops and shows. friendly, helpful &amp; efficient staff especially Ali and Peter. Our Club Twin bedroom was very clean and comfortable on the second floor.",All good,United Kingdom,Club Twin Room,1 night ·,Family,October 2022,25 October 2022,,
9.0,"Started as a 10, can still be a 10","My expectations were incredibly high after the check-in, for the great location for public transports, the wonderful service from the staff (expecially from Andrea, Peter &amp; Shoju) and the nice comfy room given to me. I would really love to come back in the future!","Unfortunately, I've got a bit disappointed due to the poor variety of the breakfast buffet (having only one type of tea and coffe is absurd to me) and the excessive room cleaning (as far as I know, towels should be changed only if they're left on the bathroom floor). These are easy changes to offer a better service and reduce waste.",Italy,Deluxe Single Room,2 nights ·,Solo traveller,October 2022,21 October 2022,,
7.0,Good,Fantastic location. Every staff member was very helpful and friendly.,"Our compact double room for two tall people was uncomfortable, and noise from the road was loud.",Switzerland,Compact Double Room,6 nights ·,Couple,October 2022,19 October 2022,,
9.0,Recommend Old but Nice,"The room was small, but comfortable. The staff were very polite and helpful. Breakfast was hot. Nothing fancy, but good.","The construction outside our open window, but didn't last too long before they called it a day. Door to fire escape wouldn't close or lock,but was fixed by the time we returned from our tour of London.",United States,Deluxe Twin Room,1 night ·,Couple,October 2022,19 October 2022,,
8.0,Good location.,Fantastic bed. Fantastic Indian food for room service. Great staff.,No gluten free options for breakfast.Construction work outside the whole day.No gym.,Sweden,Compact Double Room,2 nights ·,Couple,October 2022,19 October 2022,,
9.0,Superb,convenient to ststion,,United Kingdom,Deluxe Single Room,2 nights ·,Solo traveller,October 2022,18 October 2022,,
7.0,Good,Good,The Spa need pre booking. but this you only know once you reach there,United Kingdom,Compact Double Room,1 night ·,Solo traveller,October 2022,18 October 2022,1,
9.0,"Exceptional Hotel, great location and friendly staff.","Location perfect - staff attentive, breakfast was excellent. We had an excellent stay and will definitely stay again.",Nothing.,Australia,Deluxe Twin Room,2 nights ·,Couple,September 2022,18 October 2022,,
8.0,Great location if traveling by train. The Paddington Underground and train station are very close,Breakfast was good and the staff were very accommodating. We changed our room to a club room and it was no problem at all.,Rooms were a little small but that is common in Large cities.,United States,Deluxe Single Room,4 nights ·,Couple,September 2022,16 October 2022,,
8.0,Very good,"It was a nice hotel for a week end. The location is great, very close to the park with so,e restaurants in the area.",nothing,France,Deluxe Single Room,2 nights ·,Solo traveller,October 2022,14 October 2022,,
9.0,Better than other hotels I've stayed at in the locale.,"Close to Paddington Station, room was comfortable and clean, facilities very good.",Everything was satisfactory.,Australia,Deluxe Single Room,1 night ·,Solo traveller,September 2022,12 October 2022,,
9.0,Great staff who go above and beyond their call of duty. I hope to stay at a hotel they start!,"I enjoyed room 303 but immediately tripped down the flight of stairs that were inconveniently constructed directly in from of the doorway. I loved being able to open the blinds and watch the street. I did not use the dining area and opted for room service as it was quite busy. Shoair and Lucas were so helpful during my stay. I informed Shear that I had a train departing from Paddington at 07.48 and he promptly woke me at 07. It is a _very_ close walk to Paddington to keep in mind the sidewalks, roads, and cobblestones can be a pain to manuever through. I was unsure if onsite parking was available but I felt safe and comfortable. The mini fridge is a great touch if you picked up a few lagers before checking in.","Ice. The room heats fast so you turn it town and open a window and then it cools too fast. An ice machine would have made my cocktails better. Also HDMI to USB-C cables in the room that are mounted to the TV for guests to treat things from their personal devices as the rooms did not have Plex, Amazon TV, or Apple TV. Also, the phones were quite, old.",United Kingdom,Compact Double Room,1 night ·,Solo traveller,October 2022,12 October 2022,,
7.0,Good,"The warm food could use more salt, which was missing at our table, otherwise all good.",,Sweden,Deluxe Double Room,1 night ·,Couple,September 2022,10 October 2022,,
7.0,Comfortable and well located,"Great location and nicely appointed (albeit small) rooms, was comfortable and well provided for. Rooms were clean and the shower etc  in good condition","Breakfast was lackluster and didn't have the full range of expected options. I managed to get a great rate, looks like it would normally be too expensive...",United Kingdom,Deluxe Single Room,2 nights ·,Solo traveller,September 2022,10 October 2022,,
8.0,Very good,Great location and excellent breakfast. Friendly staff.,The fire alarm monitor was very bright in the room,New Zealand,Deluxe Double Room,3 nights ·,Couple,August 2022,9 October 2022,,
9.0,Superb,Location was perfect.,"Except from the club room,the other rooms were very tiny",India,Deluxe Double Room,5 nights ·,Couple,October 2022,9 October 2022,,
8.0,"very friendly team, great location and facilities","very central, great friendly crew, comfy room. the on-site restaurant serves absolutely brilliant Indian food!","the compact room has a very small (double) bed, which is not obvious from the online description. team were excellent at helping us out once we realised we would not fit in it!",Australia,Club Double Room,1 night ·,Couple,September 2022,8 October 2022,,
9.0,Would definitely recommend!,"Room was comfortable and clean. We paid to upgrade our room to club. When my husband booked he didn’t realize he booked a compact room. We also added an additional night at the beginning of our stay. The club room was spacious for London. We also booked a deluxe room for our son and his wife and they were very happy with it.Very quite too, which is great after a long day.",A few small issues. Didn’t receive complimentary fruit bowl and wine with our paid upgrade.No tissue box in the room.We were left with less than 1/2 of a tissue roll by the 5th night.,United States,Compact Double Room,4 nights ·,Couple,October 2022,8 October 2022,,
7.0,Very small rooms,"Great location, delicious breakfast, comfortable bed.","Extremely small room with very little space to maneuver around the beds. Even though I kept the key card in the slot, the power in the room kept going out. I had to keep juggling the card in the slot to make the power come back on. The power suddenly went off again and the room was very dark but when I went to open the curtains to let some light into my room, the curtains fell off the wall and the rail hit me in the head. I called the front desk and they sent 2 guys up right away, but they were not able to fix the curtains, but they gave me an extra key card to stick in the slot to keep the power on. However within 5 minutes of leaving my room the power went out again. So I called the front desk again and someone came to my room and eventually got the power to stay in. But I didn't get a good night's sleep because I was not able to block the light from the street outside.",United States,Deluxe Twin Room,3 nights ·,Family,October 2022,8 October 2022,,
9.0,Would definitely stay again !!,Club room very nice and lovely breakfast and dinner,Advertising Deluxe double room which was not Deluxe. ( very tiny and overlooking an enclosed storage area. Club rooms really lovely and was given upgrade.,Australia,Deluxe Double Room,2 nights ·,Couple,October 2022,8 October 2022,,
9.0,Great location and helpful staff,Great location with 2 minute walk to Paddington station and helpful staff. I had some problems with my first room but they upgraded me to a great room. Nice breakfast and comfy beds.,The rooms are rather small in the lower price categories but that’s very common for London.,Sweden,Deluxe Double Room,3 nights ·,Solo traveller,October 2022,8 October 2022,,
9.0,Superb,"Good staff, clean rooms, comfortable, and great location.Special thanks to Mr. Ruben and Mr. Khazithey were very helpful and friendly.","Rooms were very small, and the value is a bit expensive.",Saudi Arabia,Deluxe Double Room,10 nights ·,Family,October 2022,7 October 2022,,
9.0,Superb,"Spotlessly Clean, comfortable, proper wine glasses and a fridge and microwave in room.","Basement room, iffy TV reception, price was high (but this is London I guess)",United Kingdom,Compact Double Room,1 night ·,Solo traveller,October 2022,7 October 2022,,
9.0,convenient and comfortable,Location is great - less than 5 minutes walk from Paddington ( and Heathrow express) . The rooms are tiny but that is not a complaint . They are so well designed and modern especially traveling alone .,nothing,Ireland,Deluxe Single Room,1 night ·,Solo traveller,October 2022,7 October 2022,,
