1,staff,go beyond to make you feel taken caref of
2,champagne,complimentary
3,I,then left waiting for 15 minutes
4,Check in,wasn’t the best
5,we,couldn’t get ready in our room
6,we,didn’t get as long in the pool
7,location,fantastic
8,room,most beautiful
9,children,received teddies as an apology
10,children,very well catered for
11,we,wasn’t ready until nearly 4.
12,we,wonderful
13,I,always going above and beyond to make our stay enjoyable
14,I,booked the hotel for our anniversary
15,we,couldn't fault it at all
16,hotel,exceeded our expectations
17,hotel staff,excellent
18,customer service,exceptional
19,we,thoroughly enjoyed our stay
20,hotel,best
21,5* service,real
22,furniture,old
23,foods,Great
24,foods,lovely
25,staff,always helpful
26,Marylebone station,literally right out the back door
27,room,lots of
28,shower,separate
29,room,wonderful
30,Room,Beautiful spacious
31,ground floor interior,Spacious
32,housekeeping,excellent
33,breakfast,excellent.
34,we,not charged for it
35,Room,very quiet
36,Second breakfast,went wrong
37,property,Beautiful
38,It,has consistently provided great service and comfort
39,Everything,above my expectations
40,Staff,amazingly helpful
41,service at dinner,exceptional
42,Lobby,fantastic
43,Rooms,tidy
44,Staff,went above and beyond
45,smell,wonderful
46,we,loved the piano playing
47,restaurant menu,should be more accommodating to Muslim guests
48,Winter Garden,very beautiful
49,we ate,very good
50,rooms,comfortable
51,Staff,friendly
52,Staff,helpful
53,You,never know when your rooms is going to be cleaned
54,6th floor of the hotel,puts there duvet between 2 sheets and not a duvet cover
55,duvet,seemed unhygienic
56,rooms,spacious
57,All the other floors,use a duvet cover
58,You,want your room to be serviced
59,you,can’t open the windows
60,breakfast,Amazing
61,breakfast,Superb
62,building,stunning
63,building,very clean
64,complaints,No
65,staff,Superb
66,staff,excellent
67,rooms,spacious
68,Housekeeping.,Always came to clean in the afternoon
69,Housekeeping.,Super
70,location,convenient
71,pillows,average
72,room service orders,could be taken better
73,Winter Garden,excellent
74,Hotel car,fantastic
75,Menu options,limited
76,Bed,should be more comfortable
77,Bed,spacious
78,Food,very average
79,hotel location,very good
80,systems,a bit clunky
81,bathroom,also spacious
82,Decor,comfortable
83,systems,delayed our check-in
84,location,easy to get anywhere in central London by tube
85,facilities,good
86,room,large
87,quality of the teabags in the room,not good
88,Decor,not refurbished recently.
89,location,slightly off-centre
90,bed,super comfortable
91,Staff at the hotel,very helpful
92,service,great
93,room sizes,large
94,tv channels,too complicated
95,facilities,very expensive
96,facilities,wonderful
97,staff,Lovely
98,staff,great
99,everything.,Really nice
100,they,didn’t let me know about it especially that I have upgraded my room when I checked in
101,they,excellent
102,they,friendly
103,noises,shaking the floor and my bed
104,they,told me about the disadvantages of having this room in the first floor especially that I was staying there for work
105,they,very nice
106,location,Perfect
107,Staff,always here for taking care
108,whole experience,exquisite
109,Room,extremely clean
110,Winter Garden,fabulous
111,Location,great
112,Room,large
113,food and drinks,top quality
114,Room,very elegant
115,Breakfast,great
116,upgrade,complimentary
117,staff,excellent
118,upgrade,excellent.
119,Balcony doors,can’t be opened
120,I,explained it’s for security reasons
121,location,great
122,I,love everything about this Hotel
123,Staff,amazing
124,stay,fantastic
125,corner suite,lovely
126,Staff,really made the effort to make our stay special.
127,staff,amazing
128,I,fabulous
129,I,have stayed here before
130,everything,to standard
131,Room,wonderful
132,location,cleanliness
133,I,bet to work
134,We,definitely come to stay again
135,location,great
136,I,very comfortable
137,I,very friendly
138,staff,excellent
139,A/C,fantastic
140,staff,very attentive
141,Landmark,with all the modern conveniences
142,building,Beautiful
143,Staff,very professional
144,hotel,amazing
145,hotel,amazing
146,location,great
147,staff,OK
148,hotel,amazing
149,breakfast,not value for money
150,bed,a bit hard
151,rooms,amazing
152,rooms,big
153,rooms,comfortable
154,Rooms,amazing
155,Rooms,clean.
156,Rooms,comfy
157,rooms,Large
158,location,good
159,bathrooms,has shattaf
160,service,nice
161,gym,really small
162,find,great
163,coffee,instant
164,coffee machine in room,no
165,kettle,only
166,location,Amazing
167,Lift,beautiful
168,Lift,could be slow
169,room,very quiet
170,atrium.,glassed
171,windows,Closed
172,we,a tad bit disappointed with the size of the room the second time we stayed
173,Hotel,beautiful
174,we,booked to stay twice in a week at the hotel.
175,Hotel team,coordinated
176,we,felt not the best value for money
177,Hotel team,took care of us well
178,Hotel,well located
179,staff,did not offer me the family room that i used to stay on
180,staff,friendly
181,winter garden,Beautiful
182,Pillows,also hard
183,Bed,so hard
184,facilities,amazing.
185,facilities,fantastic
