score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
10,the overall experience was great; we came for a wedding and they made our experience more memorable. special mention to,staff go beyond to make you feel taken caref of,n/a,Philippines,Executive Double Room,1 night ·,Couple,June 2022,18 June 2022,,
10,"Excellent staff, very friendly, done absolutely everything they could for us and more. hotel reception smells absolutely",complimentary champagne as a wedding gift,,United Kingdom,Executive Double Room,2 nights ·,Couple,October 2022,26 October 2022,,
10,wonderful luxury hotel. A true 5 star with impeccable service. Beautiful clean well appointed room.,stunning and impeccable service,"Check in wasn’t the best, it was clear that the man that went before me pushed in. I was then left waiting for 15 minutes.",United Kingdom,Family Room (2 Adults + 2 Children),2 nights ·,Family,October 2022,25 October 2022,,
8.0,Very good,"Rooms, swimming pool, staff and especially the hotel itself",Room was not ready for 3pm but 3.25pm,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,October 2022,25 October 2022,,
8.0,Overall we would highly recommend The Landmark and we will definitely be back.,The location was fantastic and the staff were wonderful. We had the most beautiful room and the children were very well catered for.,"Despite check-in being at 3, our room wasn’t ready until nearly 4. The family swim session is 3-5 so we didn’t get as long in the pool as we’d have liked and we couldn’t get ready in our room. The staff were very accommodating about helping us get to the pool before the session ended though and the children received teddies as an apology which definitely made up for the inconvenience.",United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,October 2022,25 October 2022,,
9.0,The perfect place with the excellent staff,Everything,nothing,United Arab Emirates,Executive Double Room,3 nights ·,Couple,October 2022,23 October 2022,,
8.0,Very good,,WiFi did not work for such an exclusive hotel.,United Kingdom,Family Room (2 Adults + 2 Children),1 night ·,Family,September 2022,22 October 2022,,
10,Amazing stay.,"I booked the hotel for our anniversary and we thoroughly enjoyed our stay. The hotel staff were excellent and the customer service was exceptional, always going above and beyond to make our stay enjoyable.",To be honest the hotel exceeded our expectations and we couldn't fault it at all.,United Kingdom,Double Room,1 night ·,Couple,October 2022,21 October 2022,,
10,Exceptional,"To me, the best hotel to stay in London, real 5* service",,United Kingdom,Executive Double Room,2 nights ·,Solo traveller,October 2022,21 October 2022,,
10,very convenient,very quite,The old furniture,Saudi Arabia,Executive Double Room,12 nights ·,Solo traveller,October 2022,19 October 2022,,
10,Exceptional,Everything about.,,Malaysia,Family Room (2 Adults + 2 Children),6 nights ·,Family,October 2022,18 October 2022,1,
8.0,What I needed after a long trip to North America!,accessible to all major POI’s,"there were two doors/entrances, and the back-door wasn’t as close or easy access to the main hall! ended up crashing two weddings because nobody was there to guide me otherwise!😅",United Arab Emirates,Landmark Junior Suite,3 nights ·,Couple,October 2022,18 October 2022,,
10,"Lovely hotel, staff were super friendly, great food and atmosphere.",Great variety of lovely foods .,No issues .,United Kingdom,Executive Double Room,1 night ·,Couple,October 2022,17 October 2022,,
9.0,lovely stay in a great location,"loved the location of the hotel, Marylebone station is literally right out the back door. We stayed in a suite and it was wonderful, lots of room and a separate shower. The staff were always helpful and courteous. Would definitely stay here again.",,Australia,Executive Double Room,2 nights ·,Couple,October 2022,15 October 2022,,
10,this was the 3rd time for us to stay and it didn’t disappoint,the settings,,United Kingdom,Deluxe Double Room,2 nights ·,Group,October 2022,14 October 2022,,
10,Very pleased to stay at the Landmark with very good staff,"Had two breakfasts out of 3 nights stay. Second breakfast went wrong (order lost) however, we were not charged for it. Otherwise breakfast was excellent.Beautiful spacious room with excellent housekeeping. Room very quiet which is a big bonus in London.Spacious ground floor interior to the hotel.Spa and pool excellent.",Room rate inconsistency ( different rate when extra night added). Would of liked a basic continental breakfast in the room rate as well.,United Kingdom,Executive Double Room,2 nights ·,Couple,October 2022,13 October 2022,,
10,My husband and I loved staying here. We stayed here for part of our honeymoon. Will definitely visit again.,Beautiful property and exceptionally clean!,n/a,United Kingdom,Executive Double Room,2 nights ·,Couple,October 2022,11 October 2022,,
10,A great hotel in a great city!,Everything! I’ve been staying at the Landmark since the 90’s. It has consistently provided great service and comfort.,Nothing to report!,Brazil,Double Room,4 nights ·,Couple,October 2022,10 October 2022,,
10,Perfect and can't wait to return at some point.,"Lobby was fantastic, wonderful smell as you walk in. Staff were amazingly helpful and went above and beyond. Rooms were tidy and service at dinner was exceptional.",Nothing. Everything was above my expectations.,United Kingdom,Deluxe Double Room,2 nights ·,Family,October 2022,8 October 2022,,
10,loved it,clean,nothing,Nigeria,Family Room (2 Adults + 2 Children),7 nights ·,Solo traveller,October 2022,7 October 2022,,
10,Very comfortable and memorable,"Clean, elegant and welcoming. The Winter Garden is very beautiful and we loved the piano playing.",The restaurant menu should be more accommodating to Muslim guests. it was very difficult to choose something edible from the menu. although what we ate was very good.,Saudi Arabia,Family Room (2 Adults + 2 Children),16 nights ·,Family,September 2022,2 October 2022,,
8.0,"Great location, good sized rooms and friendly staff","The hotel is in a fantastic location, close to the tube and railway and walking distance to Oxford Street. The rooms are spacious and comfortable. Staff are friendly and helpful.",You never know when your rooms is going to be cleaned so you need to let them know in advance the time of day you want your room to be serviced. For some reason the 6th floor of the hotel puts there duvet between 2 sheets and not a duvet cover. This seemed unhygienic as the duvet usually had no sheets on it by the morning. All the other floors use a duvet cover.,Kuwait,Deluxe Double Room,4 nights ·,Family,September 2022,2 October 2022,,
10,Exceptional,Thé whole hotel,you can’t open the windows,United Kingdom,Double Room,1 night ·,Family,September 2022,2 October 2022,1,
10,Pure indulgence,Amazing breakfast. Superb facilities. Just beautiful,Nothing,United Kingdom,Executive Double Room,2 nights ·,Couple,September 2022,1 October 2022,,
10,one of the best 5 star hotels I have stayed in,"well maintained, very clean and stunning building",nothing,United Kingdom,Deluxe Double Room,1 night ·,Couple,September 2022,29 September 2022,,
8.0,Excellent selection to stay,Everything specially breakfast and services provided by all staff,Nothing,Saudi Arabia,Family Room (2 Adults + 2 Children),4 nights ·,Family,September 2022,28 September 2022,,
9.0,"Serene and elegant atmosphere, with friendly and attentive staff. Super hair salon too!","Superb staff, spacious rooms, excellent restaurant",No complaints at all,United States,Family Room (2 Adults + 2 Children),5 nights ·,Couple,September 2022,27 September 2022,,
