1,Pillows,a little flat for my taste
2,room,better spacious
3,Pillows,could have been better
4,location,Best
5,coffee,Very hot
6,service,excellent
7,staff,could have been nicer
8,location,Perfect
9,sockets in room,a bit loose
10,staff,amazing
11,restaurant,comfortable
12,Location,excellent
13,staff,exceptional
14,rooms,Nice size
15,we,also found someone's ear plug on the floor
16,toilet brush in the bathroom,also no
17,beds,comfortable
18,location,"excellent for theatres, china town."
19,beds,had not been properly cleaned
20,housekeeping of the room,let them down sadly
21,they,"went out of their way by putting a complimentary bottle of prosecco, cake and balloons in the room"
22,location,50 yards from Les Miserable theatre.
23,accommodation,excellent
24,breakfast buffet,excellent.
25,accommodation,high standard
26,bathroom,looked almost brand new
27,bed,very Comfortable
28,location,excellent
29,staff,friendly
30,hospitality,Good
31,room,Small
32,closet space,not enough
33,Location,not good enough.
34,Location,perfect.
35,dessert,complimentary
36,rolls,brought up
37,bed,comfortable
38,price paid,didn’t match the service received
39,phone,didn’t work
40,bed,disturbed
41,room,large
42,toilet roll in the bathroom,no
43,location,perfect for the theatre
44,Staff,pleasant
45,check in and check out,slow
46,breakfast,very good
47,room,wasn’t actually ready till gone 3:30
48,location,Excellent
49,bed,comfy
50,Room,large
51,shower,wasnt very powerful
52,Location,absolutely very good
53,Rooms,very small
54,breakfast,a little boring
55,location,amazing
56,staff,nice
57,our room,not cleaned everyday
58,room,relatively spacious
59,room,comfortable
60,Air con,a godsend.
61,bathroom,clean
62,location,great
63,bathroom,nice
64,Breakfast,not the tastiest
65,staff,excellent
66,breakfast,superb
67,staff,very friendly
68,Staff,attentive
69,Elevator,out of order for a day
70,position,very convenient
71,breakfast,Small
72,staff,friendly
73,breakfast,good
74,staff,friendly
75,hotel,very nice
76,breakfast,Good
77,location,Prime
78,Rooms,a bit small
79,Rooms,though expected for these locations
80,breakfast,Enjoyable
81,staff,Friendly
82,location,Good central
83,rooms,Small
84,location,excellent
85,rooms,fitted with all the necessary amenities
86,staff,friendly
87,location,lively
88,rooms,nice
89,staff,professional
90,rooms,spacious
91,hotel,Really nice
92,staff,friendly
93,lights,lovely mood
94,room,stunning
95,lights,werent working.
96,maintenance,couldn't find a (in the 3 days 2 nights i was there) bath stopper
97,doiha at the front desk,did her best to fine me a room with a bath as requested by my
98,doiha at the front desk,exceeded all my expectation on the level of service and care
99,staff,has always been the best I've ever encountered
100,cleaning of the room,not at the level i amused to in this hotel
101,location,Good
102,location,Short walk from Piccadilly Circus and close to theatres
103,location,comfortable
104,Breakfast,excellent
105,staff,helpful
106,location,lovely on the third floor
107,staff,so friendly
108,Breakfast,so friendly and helpful
109,reception staff,welcoming
110,Breakfast,with lots of choice
111,outside,noisy
112,Staff,Always very helpful
113,bar or restaurant,No
114,Staff,comfortable
115,spa,No
116,location,great
117,Spa ious rooms,well appointed
118,Our toilet,alittle broken
119,air on vent,very condensated with water drips all over it
120,staff,very nice
121,room,well presented
122,Standard rooms,a little on the small side
123,staff,couldn’t be more helpful
124,Breakfast,very good
125,location,Good
126,Staff,didn't deliver all our bags to our rooms even after a reminding phone call
127,I,insist they produce them
128,location,no
129,mattress topper,rather grubby looking
130,Bathroom,rather small
131,shower in our room,a little bit tired
132,location,good
133,staff,friendly
134,staff,great for what was required
135,staff,excellent
136,hotel location,perfect for our theatre trip
137,We,well looked after
138,blackout curtains,amazing
139,rooms,bright
140,Aircon,lovely
141,bed,more like a large single than a double
142,decor,nice
143,I,very friendly and accommodating
144,bed,very small
145,rooms,very spacious
146,I,would stay here
147,I,also give a 20% refund and a complimentary bottle of bubbly for the inconvenience
148,room,compact
149,I,felt very closed in
150,I,really wanted to ensure our stay was the best it could be
151,room,really was tiny
152,staff,very apologetic
153,bed,wasn’t comfortable
154,I,wonderful
155,location,Great
156,location,small
157,hotel,expanding
158,pictures,look away better than the actual room
159,room,much smaller
160,room,Lovely
161,Our room,Excellent
162,location,Excellent central
163,location,Not far from tube stations to visit other sights in London
164,We,could be heard in the room until at least 11.30pm
165,location,directly above a souvenir shop
166,We,lovely
167,We,much appreciated
168,Our room,played very loud music
169,We,were seated straight on both mornings of our stay
170,shop,annoying
171,We,had a flickering light in the room
172,room,lovely
173,stay,part of my husband’s birthday treat
174,bed,super comfy
175,We,very quiet during the night
176,We,well lit from a variety of different light sources
177,staff,went above and beyond
178,bathroom,quite nice
179,Room,very comfortable
180,Guest Services team,very kind
181,Location Breakfast. Previous guests,shorts left in bathroomAsked for fan
182,Location Breakfast. Previous guests,was asked if the air con was on
183,location,central
184,breakfast,lovely
185,bar,no
186,breakfast room,very small
187,Rooms,excellent
188,property,well located
189,Location,Very expensive
190,Location,could be cleaner
191,Location,great.
192,location,excellent
193,location,"So close to Soho, Piccadilly Circus, Leicester Sq etc"
194,One of the rooms we stayed,TINY
195,rooms,clean
196,gym,closed
197,Bed,only a double
198,staff,professional
199,staff,very friendly
200,Beds,very comfortable.
201,roomsBreakfast,wasnt great
202,staff,friendly
203,staff,helpful
204,Breakfast,relaxed
205,Breakfast,sufficient
206,location,very good
207,breakfast,lovely
208,shower,stone cold
209,location,very central
210,bed,very comfortable
211,Location,perfect
212,breakfast room,a bit cramped
213,rooms,a bit small
214,Staff,fabulous.
215,accommodation,Brown
216,accommodation,Quality
217,We,"Very walkable to Soho, Chinatown, Leicester Square, high street, and Covent Gardens"
218,We,could hear activity throughout most of the night
219,noise from neighboring Soho bars/restaurants,present
220,We,were located on the first floor
221,Staff,always helpful
222,we,not notified that there was no spa during our stay
223,Staff,very friendly
224,they,friendly
225,they,helpful
226,they,made a special effort to decorate our room
227,breakfast,very good
228,air conditioning,good
229,hotel,nice
230,location,fantastic
231,beds,uncomfortable
232,location,Excellent
233,location,Lovely
234,restaurant for breakfast,Very small
235,I,asked in advance for fruit platter and a cake for my partner’s 50th
236,I,never got it
237,room,"with fruit,bottled water,toiletries as"
238,location,"with fruit,bottled water,toiletries as."
239,They,clearing as soon as you put something down
