score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
10,"Located in such a prime area in London, the BEST hotel I could have ever picked! We will be back for sure!",We were upgraded to a better spacious room even without asking - which was a pleasant surprise. Loved the fact I could order eggs of my choice on the side on top of the breakfast spread. Excellent service.,Pillows could have been better - a little flat for my taste but it was not a biggie.,United Kingdom,Premier Double Room,2 nights ·,Couple,October 2022,18 October 2022,,
9.0,Highly recommended to stay if you like to walk around and browse shopping,Best location in London for shopping and exploring all the street shops.The hotel has a nice breakfast.Very hot coffee.,The hotel has some staff shortage.However the service and attitude of staff excellent.Because hotel in in the heart of the area there is no drop off or pick up for the taxi.,Australia,Four-Poster Suite,5 nights ·,Couple,October 2022,25 October 2022,,
9.0,"excellent location, small compact room, very comfy bed",location,The staff could have been nicer,United Kingdom,Premier Double Room,1 night ·,Couple,October 2022,23 October 2022,,
9.0,Excellent location and staff!,"Perfect location, staff amazing, small touches like prosecco on arrival and chocolates make it that little bit more special. Also room was decorated for our birthday which was a lovely touch!",Only issue we had was that sockets in room were a bit loose which maybe need checked,United Kingdom,Premier Twin Room,2 nights ·,Group,October 2022,21 October 2022,,
7.0,The staff made my break very enjoyable.,comfortable and clean. Location was excellent and the staff were exceptional.,The restaurant was only open for breakfast and the bar shut in the afternoon.,United Kingdom,Premier Single Room,2 nights ·,Solo traveller,October 2022,20 October 2022,,
8.0,"All in all an excellent stay, just a shame about the housekeeping letting them down in the room","The location of the Hotel is excellent for theatres, china town.  Nice size rooms and comfortable beds.  It was my friends 70th birthday and they went out of their way by putting a complimentary bottle of prosecco, cake and balloons in the room, could not fault it.",The housekeeping of the room let them down sadly as we found someone's lip balm on the floor plus under the beds had not been vacummed and we also found someone's ear plug on the floor.  Plus the bottom outside of the shower door rail had not been properly cleaned and there was also no toilet brush in the bathroom.,United Kingdom,Premier Twin Room,2 nights ·,Group,October 2022,17 October 2022,,
9.0,"loved it, will go there again","excellent, high standard of accommodation. very Comfortable bed, a bathroom that looked almost brand new. I also feel the breakfast buffet was excellent. just two little pointers, a little storage in the bathroom would be great (cupboard or shelf), and probably a rail to help people getting in and out of the shower/ bath. we will use this hotel again as the location was excellent. 50 yards from Les Miserable theatre","There was nothing not to like, it was excellent all around",United Kingdom,Premier Double Room,2 nights ·,Couple,October 2022,16 October 2022,,
9.0,perfect for the theatre.,"excellent location, friendly staff right in the middle of the west end, soho and Chinatown.Would definitely recommend.",cannot think of anything.,United Kingdom,Club Double Room,2 nights ·,Couple,August 2022,15 October 2022,1,
8.0,Very good,Location is perfect.Good breakfast.Good hospitality.,"The cleaning was not good enough.Small room, not enough closet space.",Israel,Premier Double Room,8 nights ·,Couple,October 2022,12 October 2022,,
8.0,Lovely hotel,"They left a complimentary dessert, bottle of prosecco and balloons for my birthday.",Bit of a wait to check in but nothing to complain about really,United Kingdom,Premier Double Room,2 nights ·,Family,July 2022,10 October 2022,,
7.0,great location but price didn’t match service sadly,location is perfect for the theatre. room was large with comfortable bed and breakfast was very good.,"check in was 2pm but room wasn’t actually ready till gone 3:30 as there were ‘some issues’ with the room. However, there was no toilet roll in the bathroom and when I called reception, the phone didn’t work as it was  unplugged!  The rolls were brought up but there was no apology. Staff were pleasant but check in and check out were slow. We had a room at the front and traffic noise disturbed sleep but I guess that’s the sacrifice for a central location. don’t think I would stay again as price paid didn’t match the service received.",United Kingdom,Premier Twin Room,1 night ·,Family,October 2022,9 October 2022,,
9.0,Superb,Excellent location. Room large and bed comfy.,The shower wasnt very powerful.,United Kingdom,Premier Double Room,1 night ·,Couple,October 2022,6 October 2022,,
7.0,It was good to stay there,Location is absolutely very good,Rooms were very small,India,Economy Double Room,1 night ·,Solo traveller,October 2022,5 October 2022,,
7.0,"amazing location, nice staff.but rooms are not clean.","the location is amazing, the room was relatively spacious. staff is nice.","our room was not cleaned everyday and we had to ask the staff multiple times to send a cleaning lady, who did not clean the room well and didn’t bother to change the sheets.breakfast was the same everyday which was a little boring.",Israel,Premier Double Room,7 nights ·,Couple,September 2022,4 October 2022,,
9.0,"Great position, very clean and very friendly and helpful staff.","Room, position of hotel, staff",N/A,United Kingdom,Premier Double Room,1 night ·,Couple,October 2022,4 October 2022,,
7.0,"ok stay, but good location to get me to marathon start line",comfortable room for a solo traveller,"incredibly noisy, both inside and outside noise",Jersey,Premier Double Room,2 nights ·,Solo traveller,October 2022,4 October 2022,1,
8.0,Very good,Room was nice and clean especially the bathroom. Air con was a godsend. Worth paying extra for the great location.,Would have be great to have more hot &amp; cold vegan and gluten free options at breakfast.,United Kingdom,Premier Twin Room,1 night ·,Couple,July 2022,4 October 2022,,
8.0,Very good,Room was comfortable. Water and fresh fruit was nice. As was the welcome prosecco,Breakfast was not the tastiest.,United Kingdom,Premier Double Room,1 night ·,Couple,October 2022,3 October 2022,,
8.0,excellent,"excellent location, superb breakfast, staff very friendly and efficient.",nothing,United Kingdom,Economy Double Room,1 night ·,Couple,September 2022,3 October 2022,,
7.0,Good location with friendly staff.  I will go there again.,Staff were attentive.,Elevator was out of order for a day,United States,Premier Double Room,4 nights ·,Solo traveller,September 2022,2 October 2022,,
9.0,excellent stay in a very conveniently positioned hotel. Great breakfast.,very convenient position.,nothing other than it was a bit expensive,United Kingdom,Premier Double Room,1 night ·,Couple,September 2022,1 October 2022,,
9.0,Superb,"Location, friendly staff &amp; good breakfast",Small double bed,United Kingdom,Premier Double Room,1 night ·,Couple,September 2022,1 October 2022,,
8.0,Very good,"hotel was very nice, staff were friendly and helped when asked",,United Kingdom,Junior Suite,1 night ·,Family,September 2022,29 September 2022,,
8.0,Very good,Prime location. Good breakfast.,Rooms are a bit small (though expected for these locations).,Israel,Premier Double Room,5 nights ·,Couple,September 2022,27 September 2022,,
7.0,Good,Enjoyable breakfast.Good central location.Friendly staff.,Expensive for the room and hotel facilities. Small rooms for the cost.,United Kingdom,Premier Double Room,1 night ·,Solo traveller,September 2022,26 September 2022,,
